date,parent,child
2020-06-16 6:07:19,10028,464249
2020-06-16 6:07:39,10028,464250
2020-06-16 6:08:00,10028,464251
2020-06-16 6:08:20,10028,464252
2020-06-16 6:08:40,10028,464253
2020-06-16 6:09:00,10028,464254
2020-06-16 6:09:20,10028,464255
2020-06-16 6:09:41,10028,464256
2020-06-16 6:10:01,10028,464257
2020-06-16 6:10:21,10028,464258
2020-06-16 6:10:41,10028,464259
2020-06-16 6:11:01,10028,464260
2020-06-16 6:11:22,10028,464261
2020-06-16 6:11:42,10028,464262
2020-06-16 6:12:02,10028,464263
2020-06-16 6:12:22,10028,464264
2020-06-16 6:12:42,10028,464265
2020-06-16 6:13:03,10028,464266
2020-06-16 6:13:23,10028,464267
2020-06-16 6:13:43,10028,464268
2020-06-16 6:14:03,10028,464269
2020-06-16 6:14:23,10028,464270
2020-06-16 6:14:44,10028,464271
2020-06-16 6:15:04,10028,464272
2020-06-16 6:15:24,10028,464273
2020-06-16 6:15:44,10028,464274
2020-06-16 6:16:04,10028,464275
2020-06-16 6:16:25,10028,464276
2020-06-16 6:16:45,10028,464277
2020-06-16 6:17:05,10028,464278
2020-06-16 6:17:25,10028,464279
2020-06-16 6:17:45,10028,464280
2020-06-16 6:18:06,10028,464281
2020-06-16 6:18:26,10028,464282
2020-06-16 6:18:46,10028,464283
2020-06-16 6:19:06,10028,464284
2020-06-16 6:19:27,10028,464285
2020-06-16 6:19:47,10028,4686
2020-06-16 6:20:07,10028,4706
2020-06-16 6:20:27,10028,47568
2020-06-16 6:20:47,10028,4828
2020-06-16 6:21:08,10028,50558
2020-06-16 6:21:28,10028,5144
2020-06-16 6:21:48,10028,51777
2020-06-16 6:22:08,10028,5192
2020-06-16 6:22:28,10028,5320
2020-06-16 6:22:49,10028,5339
2020-06-16 6:23:09,10028,5350
2020-06-16 6:23:29,10028,5385
2020-06-16 6:23:49,10028,5464
2020-06-16 6:24:09,10028,5473
2020-06-16 6:24:30,10028,54866
2020-06-16 6:24:50,10028,55454
2020-06-16 6:25:10,10028,5584
2020-06-16 6:25:30,10028,5826
2020-06-16 6:25:50,10028,58696
2020-06-16 6:26:11,10028,5905
2020-06-16 6:26:31,10028,59063
2020-06-16 6:26:51,10028,63512
2020-06-16 6:27:11,10028,64071
2020-06-16 6:27:31,10028,6570
2020-06-16 6:27:52,10028,66924
2020-06-16 6:28:12,10028,68761
2020-06-16 6:28:32,10028,6917
2020-06-16 6:28:52,10028,6994
2020-06-16 6:29:12,10028,7299
2020-06-16 6:29:33,10028,73941
2020-06-16 6:29:53,10028,7397
2020-06-16 6:30:13,10028,7561
2020-06-16 6:30:33,10028,80086
2020-06-16 6:30:53,10028,81535
2020-06-16 6:31:14,10028,8240
2020-06-16 6:31:34,10028,84500
2020-06-16 6:31:54,10028,8537
2020-06-16 6:32:14,10028,8543
2020-06-16 6:32:35,10028,86273
2020-06-16 6:32:55,10028,87157
2020-06-16 6:33:15,10028,8763
2020-06-16 6:33:35,10028,8770
2020-06-16 6:33:55,10028,8793
2020-06-16 6:34:16,10028,8836
2020-06-16 6:34:36,10028,89513
2020-06-16 6:34:56,10028,8955
2020-06-16 6:35:16,10028,9004
2020-06-16 6:35:36,10028,90988
2020-06-16 6:35:57,10028,91674
2020-06-16 6:36:17,10028,9254
2020-06-16 6:36:37,10028,94444
2020-06-16 6:36:57,10028,96072
2020-06-16 6:37:17,10028,9684
2020-06-16 6:37:38,10028,97153
2020-06-16 6:37:58,10028,9936
2020-06-16 6:38:18,10028,9937
2020-06-16 6:38:38,10029,10065
2020-06-16 6:38:58,10029,105
2020-06-16 6:39:19,10029,10796
2020-06-16 6:39:39,10029,263007
2020-06-16 6:39:59,10029,278333
2020-06-16 6:40:19,10029,360221
2020-06-16 6:40:39,10029,382446
2020-06-16 6:41:00,10029,386684
2020-06-16 6:41:20,10029,389292
2020-06-16 6:41:40,10029,389351
2020-06-16 6:42:00,10029,463935
2020-06-16 6:42:20,10029,464086
2020-06-16 6:42:41,10029,464087
2020-06-16 6:43:01,10029,464088
2020-06-16 6:43:21,10029,464089
2020-06-16 6:43:41,10029,464090
2020-06-16 6:44:01,10029,464091
2020-06-16 6:44:22,10029,464092
2020-06-16 6:44:42,10029,464093
2020-06-16 6:45:02,10029,464094
2020-06-16 6:45:22,10029,464098
2020-06-16 6:45:43,10029,464100
2020-06-16 6:46:03,10029,464101
2020-06-16 6:46:23,10030,10006
2020-06-16 6:46:43,10030,10017
2020-06-16 6:47:03,10030,10050
2020-06-16 6:47:24,10030,10051
2020-06-16 6:47:44,10030,10062
2020-06-16 6:48:04,10030,105
2020-06-16 6:48:24,10030,105411
2020-06-16 6:48:44,10030,11303
2020-06-16 6:49:05,10030,11711
2020-06-16 6:49:25,10030,1196
2020-06-16 6:49:45,10030,12014
2020-06-16 6:50:05,10030,12138
2020-06-16 6:50:25,10030,14306
2020-06-16 6:50:46,10030,16262
2020-06-16 6:51:06,10030,17156
2020-06-16 6:51:26,10030,187693
2020-06-16 6:51:46,10030,189587
2020-06-16 6:52:06,10030,212126
2020-06-16 6:52:27,10030,21987
2020-06-16 6:52:47,10030,251777
2020-06-16 6:53:07,10030,254358
2020-06-16 6:53:27,10030,25963
2020-06-16 6:53:47,10030,259740
2020-06-16 6:54:08,10030,259772
2020-06-16 6:54:28,10030,259856
2020-06-16 6:54:48,10030,262099
2020-06-16 6:55:08,10030,263475
2020-06-16 6:55:28,10030,264488
2020-06-16 6:55:49,10030,274561
2020-06-16 6:56:09,10030,275660
2020-06-16 6:56:29,10030,278775
2020-06-16 6:56:49,10030,292850
2020-06-16 6:57:09,10030,29586
2020-06-16 6:57:30,10030,30113
2020-06-16 6:57:50,10030,317426
2020-06-16 6:58:10,10030,321258
2020-06-16 6:58:30,10030,326021
2020-06-16 6:58:51,10030,326298
2020-06-16 6:59:11,10030,33794
2020-06-16 6:59:31,10030,36287
2020-06-16 6:59:51,10030,36411
2020-06-16 7:00:11,10030,372535
2020-06-16 7:00:32,10030,37351
2020-06-16 7:00:52,10030,3755
2020-06-16 7:01:12,10030,3810
2020-06-16 7:01:32,10030,391537
2020-06-16 7:01:52,10030,440842
2020-06-16 7:02:13,10030,44460
2020-06-16 7:02:33,10030,463241
2020-06-16 7:02:53,10030,464196
2020-06-16 7:03:13,10030,464197
2020-06-16 7:03:33,10030,464198
2020-06-16 7:03:54,10030,464199
2020-06-16 7:04:14,10030,464200
2020-06-16 7:04:34,10030,464201
2020-06-16 7:04:54,10030,464202
2020-06-16 7:05:14,10030,464203
2020-06-16 7:05:35,10030,464204
2020-06-16 7:05:55,10030,464205
2020-06-16 7:06:15,10030,464206
2020-06-16 7:06:35,10030,464207
2020-06-16 7:06:55,10030,464208
2020-06-16 7:07:16,10030,4686
2020-06-16 7:07:36,10030,47568
2020-06-16 7:07:56,10030,47814
2020-06-16 7:08:16,10030,5192
2020-06-16 7:08:36,10030,5464
2020-06-16 7:08:57,10030,54934
2020-06-16 7:09:17,10030,5601
2020-06-16 7:09:37,10030,5693
2020-06-16 7:09:57,10030,62938
2020-06-16 7:10:17,10030,66917
2020-06-16 7:10:38,10030,66924
2020-06-16 7:10:58,10030,68703
2020-06-16 7:11:18,10030,7142
2020-06-16 7:11:38,10030,7273
2020-06-16 7:11:59,10030,7275
2020-06-16 7:12:19,10030,7299
2020-06-16 7:12:39,10030,7384
2020-06-16 7:12:59,10030,7397
2020-06-16 7:13:19,10030,74938
2020-06-16 7:13:40,10030,7842
2020-06-16 7:14:00,10030,80054
2020-06-16 7:14:20,10030,8338
2020-06-16 7:14:40,10030,8490
2020-06-16 7:15:00,10030,8566
2020-06-16 7:15:21,10030,8699
2020-06-16 7:15:41,10030,87884
2020-06-16 7:16:01,10030,8975
2020-06-16 7:16:21,10030,9001
2020-06-16 7:16:41,10030,9484
2020-06-16 7:17:02,10030,95230
2020-06-16 7:17:22,10030,9685
2020-06-16 7:17:42,1003,10084
2020-06-16 7:18:02,10031,10072
2020-06-16 7:18:22,10031,105
2020-06-16 7:18:43,10031,12733
2020-06-16 7:19:03,10031,1307
2020-06-16 7:19:23,10031,13390
2020-06-16 7:19:43,10031,158125
2020-06-16 7:20:03,10031,25363
2020-06-16 7:20:24,10031,263434
2020-06-16 7:20:44,10031,27061
2020-06-16 7:21:04,10031,299737
2020-06-16 7:21:24,10031,406
2020-06-16 7:21:44,10031,4352
2020-06-16 7:22:05,10031,448164
2020-06-16 7:22:25,10031,464143
2020-06-16 7:22:45,10031,464144
2020-06-16 7:23:05,10031,464145
2020-06-16 7:23:25,10031,464146
2020-06-16 7:23:46,10031,464147
2020-06-16 7:24:06,10031,464148
2020-06-16 7:24:26,10031,464149
2020-06-16 7:24:46,10031,464150
2020-06-16 7:25:06,10031,464151
2020-06-16 7:25:27,10031,4835
2020-06-16 7:25:47,1003,16213
2020-06-16 7:26:07,10031,6564
2020-06-16 7:26:27,1003,17198
2020-06-16 7:26:48,10031,7299
2020-06-16 7:27:08,10031,7561
2020-06-16 7:27:28,10031,8009
2020-06-16 7:27:48,1003,18235
2020-06-16 7:28:08,10031,85557
2020-06-16 7:28:29,10031,9071
2020-06-16 7:28:49,10031,9447
2020-06-16 7:29:09,1003,20
2020-06-16 7:29:29,1003,20014
2020-06-16 7:29:49,10032,10016
2020-06-16 7:30:10,10032,10018
2020-06-16 7:30:30,10032,10024
2020-06-16 7:30:50,10032,10035
2020-06-16 7:31:10,10032,10071
2020-06-16 7:31:30,10032,105
2020-06-16 7:31:51,10032,146052
2020-06-16 7:32:11,10032,16025
2020-06-16 7:32:31,10032,1624
2020-06-16 7:32:51,10032,194039
2020-06-16 7:33:11,10032,19446
2020-06-16 7:33:32,10032,20004
2020-06-16 7:33:52,10032,20808
2020-06-16 7:34:12,10032,227153
2020-06-16 7:34:32,10032,229324
2020-06-16 7:34:52,10032,23267
2020-06-16 7:35:13,10032,234542
2020-06-16 7:35:33,10032,23544
2020-06-16 7:35:53,10032,241738
2020-06-16 7:36:13,10032,244277
2020-06-16 7:36:33,10032,244460
2020-06-16 7:36:54,10032,256424
2020-06-16 7:37:14,10032,257143
2020-06-16 7:37:34,10032,259772
2020-06-16 7:37:54,10032,260431
2020-06-16 7:38:14,10032,261559
2020-06-16 7:38:35,10032,27825
2020-06-16 7:38:55,10032,287201
2020-06-16 7:39:15,10032,3079
2020-06-16 7:39:35,10032,340204
2020-06-16 7:39:56,10032,36087
2020-06-16 7:40:16,10032,383544
2020-06-16 7:40:36,10032,387679
2020-06-16 7:40:56,10032,463985
2020-06-16 7:41:16,10032,464176
2020-06-16 7:41:37,10032,464177
2020-06-16 7:41:57,10032,464178
2020-06-16 7:42:17,10032,464179
2020-06-16 7:42:37,10032,464180
2020-06-16 7:42:57,10032,464181
2020-06-16 7:43:18,10032,464182
2020-06-16 7:43:38,10032,464183
2020-06-16 7:43:58,10032,464184
2020-06-16 7:44:18,10032,464185
2020-06-16 7:44:38,10032,4686
2020-06-16 7:44:59,10032,47568
2020-06-16 7:45:19,10032,47810
2020-06-16 7:45:39,10032,4792
2020-06-16 7:45:59,10032,47985
2020-06-16 7:46:19,10032,52171
2020-06-16 7:46:40,10032,52177
2020-06-16 7:47:00,10032,52368
2020-06-16 7:47:20,10032,52442
2020-06-16 7:47:40,1003,257
2020-06-16 7:48:00,10032,61090
2020-06-16 7:48:21,10032,62683
2020-06-16 7:48:41,1003,26834
2020-06-16 7:49:01,10032,6994
2020-06-16 7:49:21,10032,7275
2020-06-16 7:49:41,10032,7397
2020-06-16 7:50:02,10032,7479
2020-06-16 7:50:22,10032,8116
2020-06-16 7:50:42,10032,8240
2020-06-16 7:51:02,1003,28637
2020-06-16 7:51:22,10032,88668
2020-06-16 7:51:43,1003,30145
2020-06-16 7:52:03,10033,10018
2020-06-16 7:52:23,10033,103205
2020-06-16 7:52:43,10033,104695
2020-06-16 7:53:04,10033,105
2020-06-16 7:53:24,10033,11327
2020-06-16 7:53:44,10033,189786
2020-06-16 7:54:04,10033,226445
2020-06-16 7:54:24,10033,226455
2020-06-16 7:54:45,10033,22854
2020-06-16 7:55:05,10033,244084
2020-06-16 7:55:25,10033,259190
2020-06-16 7:55:45,10033,259338
2020-06-16 7:56:05,10033,270961
2020-06-16 7:56:26,10033,27266
2020-06-16 7:56:46,1003,32812
2020-06-16 7:57:06,10033,287642
2020-06-16 7:57:26,10033,2926
2020-06-16 7:57:46,10033,3060
2020-06-16 7:58:07,1003,3357
2020-06-16 7:58:27,10033,417803
2020-06-16 7:58:47,10033,42865
2020-06-16 7:59:07,10033,4534
2020-06-16 7:59:27,10033,460256
2020-06-16 7:59:48,10033,460330
2020-06-16 8:00:08,10033,460400
2020-06-16 8:00:28,10033,464186
2020-06-16 8:00:48,10033,464187
2020-06-16 8:01:08,10033,464188
2020-06-16 8:01:29,10033,464189
2020-06-16 8:01:49,10033,464190
2020-06-16 8:02:09,10033,464191
2020-06-16 8:02:29,10033,464192
2020-06-16 8:02:49,10033,464193
2020-06-16 8:03:10,10033,464194
2020-06-16 8:03:30,10033,464195
2020-06-16 8:03:50,10033,5199
2020-06-16 8:04:10,1003,35281
2020-06-16 8:04:30,1003,36362
2020-06-16 8:04:51,1003,36432
2020-06-16 8:05:11,10033,7281
2020-06-16 8:05:31,10033,7299
2020-06-16 8:05:51,10033,775
2020-06-16 8:06:12,1003,3781
2020-06-16 8:06:32,10033,86601
2020-06-16 8:06:52,10033,8770
2020-06-16 8:07:12,10033,8971
2020-06-16 8:07:32,10033,93819
2020-06-16 8:07:53,10033,9910
2020-06-16 8:08:13,10033,9916
2020-06-16 8:08:33,10033,9924
2020-06-16 8:08:53,1003,40336
2020-06-16 8:09:13,1003,40742
2020-06-16 8:09:34,10034,103205
2020-06-16 8:09:54,10034,105
2020-06-16 8:10:14,10034,13895
2020-06-16 8:10:34,10034,170000
2020-06-16 8:10:54,10034,21163
2020-06-16 8:11:15,1003,4222
2020-06-16 8:11:35,10034,22535
2020-06-16 8:11:55,10034,259772
2020-06-16 8:12:15,10034,319607
2020-06-16 8:12:35,100,3436
2020-06-16 8:12:56,10034,36536
2020-06-16 8:13:16,10034,3956
2020-06-16 8:13:36,10034,397559
2020-06-16 8:13:56,10034,40220
2020-06-16 8:14:16,10034,464135
2020-06-16 8:14:37,10034,464136
2020-06-16 8:14:57,10034,464137
2020-06-16 8:15:17,10034,464138
2020-06-16 8:15:37,10034,464139
2020-06-16 8:15:57,10034,464140
2020-06-16 8:16:18,10034,464141
2020-06-16 8:16:38,10034,464142
2020-06-16 8:16:58,10034,4686
2020-06-16 8:17:18,1003,456
2020-06-16 8:17:38,1003,45891
2020-06-16 8:17:59,1003,4594
2020-06-16 8:18:19,10034,62772
2020-06-16 8:18:39,10034,66917
2020-06-16 8:18:59,10034,67339
2020-06-16 8:19:19,1003,4707
2020-06-16 8:19:40,10034,7394
2020-06-16 8:20:00,10034,80576
2020-06-16 8:20:20,10034,88782
2020-06-16 8:20:40,100,349
2020-06-16 8:21:01,1003,49706
2020-06-16 8:21:21,1003,50077
2020-06-16 8:21:41,10035,10009
2020-06-16 8:22:01,10035,10015
2020-06-16 8:22:21,10035,10016
2020-06-16 8:22:42,10035,10018
2020-06-16 8:23:02,10035,10023
2020-06-16 8:23:22,10035,10024
2020-06-16 8:23:42,10035,10032
2020-06-16 8:24:02,10035,10040
2020-06-16 8:24:23,10035,10044
2020-06-16 8:24:43,10035,10052
2020-06-16 8:25:03,10035,10068
2020-06-16 8:25:23,10035,10492
2020-06-16 8:25:43,10035,105
2020-06-16 8:26:04,10035,150519
2020-06-16 8:26:24,10035,177306
2020-06-16 8:26:44,10035,190906
2020-06-16 8:27:04,10035,213610
2020-06-16 8:27:24,1003,5217
2020-06-16 8:27:45,10035,244277
2020-06-16 8:28:05,10035,244492
2020-06-16 8:28:25,10035,261422
2020-06-16 8:28:45,10035,281908
2020-06-16 8:29:05,10035,282174
2020-06-16 8:29:26,10035,287201
2020-06-16 8:29:46,10035,293179
2020-06-16 8:30:06,10035,298812
2020-06-16 8:30:26,10035,304212
2020-06-16 8:30:46,10035,304215
2020-06-16 8:31:07,10035,383544
2020-06-16 8:31:27,10035,388455
2020-06-16 8:31:47,10035,44362
2020-06-16 8:32:07,10035,44376
2020-06-16 8:32:27,10035,44777
2020-06-16 8:32:48,10035,448926
2020-06-16 8:33:08,10035,450464
2020-06-16 8:33:28,10035,45081
2020-06-16 8:33:48,10035,463251
2020-06-16 8:34:09,10035,463958
2020-06-16 8:34:29,10035,463982
2020-06-16 8:34:49,10035,463983
2020-06-16 8:35:09,10035,463985
2020-06-16 8:35:29,10035,464161
2020-06-16 8:35:50,10035,464162
2020-06-16 8:36:10,10035,464163
2020-06-16 8:36:30,10035,464164
2020-06-16 8:36:50,10035,464165
2020-06-16 8:37:10,10035,464166
2020-06-16 8:37:31,10035,464167
2020-06-16 8:37:51,10035,464168
2020-06-16 8:38:11,10035,47568
2020-06-16 8:38:31,10035,54866
2020-06-16 8:38:51,1003,55520
2020-06-16 8:39:12,10035,6389
2020-06-16 8:39:32,10035,7299
2020-06-16 8:39:52,10035,7335
2020-06-16 8:40:12,10035,8770
2020-06-16 8:40:32,10035,8836
2020-06-16 8:40:53,10036,10017
2020-06-16 8:41:13,10036,10064
2020-06-16 8:41:33,10036,105
2020-06-16 8:41:53,10036,221861
2020-06-16 8:42:13,10036,23735
2020-06-16 8:42:34,10036,293166
2020-06-16 8:42:54,10036,410088
